question,answer
What is the objective of Branch Testing?,"The objective of Branch Testing is to achieve 100% branch coverage by ensuring all branches, both unconditional and conditional, are exercised."
How does White-box Testing benefit defect detection?,"White-box Testing accounts for the entire software implementation, facilitating defect detection even when the software specification is vague, outdated, or incomplete."
What is Error Guessing based on?,"Error Guessing is based on the tester’s knowledge and anticipates errors, defects, and failures in areas like input, output, logic, computation, interfaces, or data."
Describe the approach used in Exploratory Testing.,"Exploratory Testing involves simultaneously designing, executing, and evaluating tests while the tester learns about the test object, often using a session-based approach with a test charter."
What is the purpose of Checklist-Based Testing?,Checklist-Based Testing involves using a checklist based on experience or understanding of software failures to guide and ensure consistency in test execution.
What are the benefits of using Black-box Test Techniques?,"Black-box Test Techniques are based on specification-based analysis, which helps develop test cases independent of how the software is implemented and focuses on the specified behavior."
How does the document suggest deriving test cases using Acceptance Test-Driven Development (ATDD)?,The document suggests using Acceptance Test-Driven Development (ATDD) to derive test cases by writing user stories and acceptance criteria in collaboration with developers and business representatives.
What are the key coverage criteria for State Transition Testing?,"The key coverage criteria are All states coverage, Valid transitions coverage, and All transitions coverage."
What role does experience play in Experience-Based Test Techniques?,"In Experience-Based Test Techniques, the knowledge and experience of testers are used to design and implement test cases, detecting defects missed by other techniques."
What is a common feature of all Black-box Test Techniques?,A common feature is that they are based on analyzing the specified behavior of the test object without reference to its internal structure.
What does the document state about the use of Checklists in Checklist-Based Testing?,"The document states that Checklists are used to provide guidelines and consistency in the absence of detailed test cases, based on experience, user importance, or understanding of software failures."
What is the focus of Statement Coverage in White-box Testing?,Statement Coverage focuses on ensuring that all executable statements are exercised at least once by the test cases.
What does the document mention about the application of Experience-Based Test Techniques?,"Experience-Based Test Techniques depend heavily on the tester’s skills and knowledge, and can detect defects that black-box and white-box techniques might miss."
How is coverage measured in Boundary Value Analysis (BVA)?,Coverage in BVA is measured as a percentage of boundary values and their neighbors exercised by test cases.
What are the primary learning objectives for Chapter 5?,"The primary learning objectives for Chapter 5 are test planning, risk management, test monitoring, test control, test completion, configuration management, and defect management."
What should a test plan document include according to the document?,"A test plan document should include the context of testing, assumptions and constraints, stakeholders, communication, risk register, test approach, budget, and schedule."
How can risk level be identified?,Risk level can be identified by using the formula: Risk Level = Risk Likelihood x Risk Impact.
What is the difference between entry criteria and exit criteria?,"Entry criteria define the preconditions required to start an activity, while exit criteria define what must be achieved to complete the activity."
What are some common metrics used for testing?,"Common metrics used for testing include test coverage, number of defects found, number of tests passed or failed, and time taken to execute tests."
What are the four quadrants of the testing quadrants model?,"The four quadrants are:
Quadrant Q1: Technology Facing, Support the Team
Quadrant Q2: Business Facing, Support the Team
Quadrant Q3: Business Facing, Critique the Product
Quadrant Q4: Technology Facing, Critique the Product"
What are some benefits of test automation mentioned in the document?,"Benefits of test automation include saving time, preventing human errors, providing objective assessments, easier access to information, reduced test execution times, and more time for testers to design new tests."
What are some risks associated with test automation?,"Risks associated with test automation include unrealistic expectations, inaccurate estimations, inappropriate tool use, over-reliance on tools, vendor dependency, open-source software risks, compatibility issues, and unsuitable tool selection."
What is the role of configuration management in testing?,"Configuration management supports testing by ensuring that test environments, test cases, and the test object are properly controlled and maintained to ensure repeatability and accuracy in testing."
What typical content should be included in a defect report?,"A defect report should include a summary, description, severity, priority, environment, and any attachments like screenshots or logs."
How does product risk analysis influence testing?,"Product risk analysis influences testing by determining the thoroughness and scope of testing; high-risk areas may require more thorough testing, while low-risk areas may need lighter testing."
What are the purposes of test reports?,"Test reports summarize the status of the test project, provide evidence of testing, and are intended for stakeholders such as project managers, developers, and clients. They typically include a summary of testing performed, list of defects found, metrics and KPIs, and conclusions and recommendations."
What is the definition of “Definition of Done” in Agile software development?,"In Agile software development, the “Definition of Done” refers to the exit criteria that must be met for a user story to be considered complete."
What are the common test tool categories mentioned in the document?,"Common test tool categories include management tools, static testing tools, test design and implementation tools, test execution and coverage tools, non-functional testing tools, DevOps tools, collaboration tools, and tools supporting scalability and deployment standardization."
How do testers contribute to iteration and release planning?,"Testers contribute to iteration and release planning by writing testable user stories and acceptance criteria, participating in project and quality risk analyses, estimating test effort, determining the test approach, and planning testing for the release."
What are the common techniques used for test effort estimation?,"Common techniques for test effort estimation include estimation based on ratios, extrapolation, wideband Delphi, and three-point estimation."
What does the test pyramid model illustrate?,"The test pyramid model illustrates different levels of test granularity, with small, isolated, fast tests at the bottom layer and complex, high-level, end-to-end tests at the top layer."
What should be considered when prioritizing test cases?,"When prioritizing test cases, considerations should include risk-based prioritization, coverage-based prioritization, requirements-based prioritization, test case dependencies, and resource availability."
What does the risk management process involve according to the document?,"The risk management process involves risk identification, risk analysis, risk assessment, risk control, and risk mitigation."
What are some measures that can be taken in response to analyzed product risks?,"Measures that can be taken in response to analyzed product risks include design reviews, code reviews, adding extra test cases, conducting more in-depth testing, and increasing test coverage."
